@relation movies
@attribute Positive numeric
@attribute Negative numeric
@attribute popularity {TRUE, FALSE}
@attribute watch {9-10,8-9,7-8,6-7,5-6,4-5,3-4,2-3,1-2,0-1}


@data
95,5,FALSE,9-10
95,5,TRUE,9-10
89,11,TRUE,9-10
89,11,TRUE,8-9
89,11,FALSE,8-9
89,11,FALSE,9-10
71,29,TRUE,7-8
71,29,FALSE,8-9
71,29,FALSE,7-8
71,29,TRUE,8-9
82,18,FALSE,8-9
85,15,TRUE,8-9
85,15,FALSE,8-9
80,20,TRUE,8-9
80,20,FALSE,8-9
74,26,FALSE,8-9
74,26,FALSE,7-8
74,26,TRUE,8-9
74,26,TRUE,7-8
50,50,FALSE,5-6
50,50,TRUE,5-6
45,55,TRUE,4-5
45,55,TRUE,5-6
45,55,FALSE,5-6
25,75,FALSE,2-3
25,75,FALSE,3-4
25,75,TRUE,2-3
25,75,TRUE,3-4
10,90,TRUE,0-1
10,90,TRUE,1-2
10,90,FALSE,0-1
10,90,FALSE,1-2
66,34,TRUE,7-8
66,34,FALSE,7-8
17,83,FALSE,2-3
17,83,FALSE,1-2
17,83,TRUE,1-2
17,83,TRUE,2-3
77,23,FALSE,8-9
77,23,TRUE,8-9
28,72,FALSE,3-4
28,72,TRUE,3-4
92,8,TRUE,8-9
92,8,TRUE,9-10
92,8,FALSE,8-9
92,8,FALSE,9-10
65,35,FALSE,6-7
65,35,FALSE,7-8
65,35,TRUE,6-7
65,35,TRUE,7-8
7,93,TRUE,0-1
7,93,TRUE,1-2
7,93,FALSE,0-1
7,93,FALSE,1-2
34,66,TRUE,3-4
34,66,FALSE,3-4
51,49,TRUE,5-6
51,49,FALSE,5-6
4,96,FALSE,1-2
4,96,FALSE,0-1
4,96,TRUE,0-1
